danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_source_playlist,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.464,0.633,0,-6.85,1,0.107,0.492,0.0,0.117,0.625,127.931,184848,5,6S5fxwEvW0d3TOgH9CmCUv,Fall in love,6Jq0QdwB0vk7VPcIqpo4pr,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,112646,43,2021-01-14,day,22,2024-01-08
0.675,0.607,2,-7.268,0,0.163,0.236,0.0,0.125,0.397,133.279,149100,5,1UtAEm1jcpo9khE0yqsWHa,Bonnie & Clyde,6Jq0QdwB0vk7VPcIqpo4pr,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,112646,43,2021-01-14,day,21,2024-01-08
0.375,0.56,2,-8.942,0,0.075,0.198,0.0,0.061,0.426,80.951,252000,5,1pP821pp9IzJwbwR73vGSN,"Bury Mi Ah ""G"" (Outro)",6Jq0QdwB0vk7VPcIqpo4pr,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,112646,43,2021-01-14,day,17,2024-01-08
0.86,0.661,5,-7.781,1,0.405,0.268,0.0,0.0916,0.538,100.094,165624,4,12XtvrtlHHKj9nCPYlL5Rc,Perfect,6Jq0QdwB0vk7VPcIqpo4pr,"58l6vON4QpVAsfXOdU8TbC,2kNL5eBpFCpOQu81GJ4lZb","Zayah Dan,Jovi Ton","1,3954","0,4",2020-08-19,day,0,2024-01-08
0.673,0.668,11,-5.245,0,0.303,0.626,0.0,0.153,0.581,94.157,154105,4,2zpP9bHHsDqRcKgbZ4OsLc,So Good,6Jq0QdwB0vk7VPcIqpo4pr,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,112646,43,2018-12-14,day,8,2024-01-08
0.636,0.79,10,-5.043,0,0.318,0.477,0.0,0.14,0.904,93.898,147075,4,6eNBlLn4eo6D4FjVYG4GWa,Fade Away,6Jq0QdwB0vk7VPcIqpo4pr,3iWwLfjZAKzmAB57v38i45,Raskality,5723,15,2019-11-15,day,1,2024-01-08
0.82,0.501,10,-10.025,0,0.12,0.783,0.0,0.172,0.459,119.902,214000,4,4MqVvKjVxbjjqLTBWT1617,Triple,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2020-11-10,day,33,2024-01-08
0.51,0.639,0,-6.108,0,0.128,0.477,0.0,0.146,0.142,119.425,198139,5,2Ing8iozbMv7epKwu6c8cU,Send Threat,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2020-10-23,day,17,2024-01-08
0.836,0.655,0,-6.463,0,0.0954,0.73,0.0,0.0968,0.382,104.974,192444,4,5TlzhemDe2P5t85cbxMnSM,Know Bout,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2020-10-21,day,25,2024-01-08
0.693,0.652,8,-4.704,0,0.192,0.576,2.86e-05,0.101,0.562,99.728,154200,4,1fNyTdHLVvobRGdi8zWy9w,Shots Gold,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2020-10-23,day,15,2024-01-08
