danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.582,0.515,4,-9.438,0,0.613,0.441,3.5e-05,0.0879,0.397,48.077,210129,4,5bW0A0OE84BCIiJljaGLN2,Step Pon Dem,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2020-08-25,day,22,2023-12-19
0.601,0.771,1,-2.189,1,0.293,0.484,0.0,0.0784,0.717,97.12,179592,4,1kKjv1AxaVtPSNWUxCyG8e,One Link,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2019-11-15,day,27,2023-12-19
0.779,0.826,5,-4.593,0,0.342,0.738,0.0,0.0942,0.909,99.479,163200,4,6azxWpKgFoC34i0z1HaikT,Safe,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2020-01-03,day,30,2023-12-19
0.878,0.476,3,-9.058,0,0.346,0.192,0.0,0.269,0.6,95.069,191608,4,5i3yN6MeOlwq6IyFKsLSb3,New K,"6Ex07b1orPPrEObwY9hzks,2PoIH45Qs8JLY2RfpdzyVE","Boogie,G5","2028,6108","3,21",2019-12-13,day,18,2023-12-19
0.923,0.53,2,-7.553,1,0.15,0.0804,0.000177,0.0971,0.419,100.021,184947,4,2e393wLift2N4BmCBZzuCF,Blood,6QJrx4J9XqIxXUBhacoJHC,Medz Boss,33706,26,2020-05-08,day,30,2023-12-19
0.536,0.756,11,-3.123,0,0.329,0.46,0.0,0.158,0.671,72.908,159273,5,54RE0090RyBRlc1OPCoU7E,Formula,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,110479,42,2020-05-07,day,41,2023-12-19
0.746,0.669,4,-8.261,0,0.216,0.437,4.78e-06,0.285,0.332,95.108,154737,4,7yQLYPU264ANcDOluHJHix,Grimm,6QJrx4J9XqIxXUBhacoJHC,Medz Boss,33706,26,2020-05-01,day,8,2023-12-19
0.935,0.627,6,-6.972,0,0.126,0.127,0.0,0.15,0.342,104.888,157714,4,6f1QkHunn0AAwW7xnS7EnR,Expert,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,110479,42,2020-05-27,day,33,2023-12-19
0.731,0.744,1,-3.647,0,0.213,0.0417,0.0,0.144,0.44,93.958,250358,4,4ZYs6suTVIJPg5vxibOyIw,Catch 22,2Jv0w50BNaGlwnXpq69HGm,Prince Swanny,110479,42,2021-01-14,day,55,2023-12-19
0.677,0.552,5,-7.733,0,0.322,0.804,0.0,0.144,0.88,142.923,168889,5,2f33W36xOV4apM1O3KE0wN,Private Zess,"6fanvfSBKMMExePwhUq8Mi,3TkImpONkqVur05k1iIe7l","K Lion,LR","39431,147","29,25",2020-03-17,day,37,2023-12-19
